,varname1,varval1,lift,cumlift,booster
1446,assay:API_rID32STR_APPA,0,1.0089600716805736,1.0089600716805736,x1.0
1447,assay:API_rID32STR_CDEX,0,1.0026712671823697,1.0026712671823697,x1.0
1448,assay:API_rID32STR_DARL,0,1.0003331297540392,1.0003331297540392,x1.0
1449,assay:API_rID32STR_GLYG,0,1.0017235627710441,1.0017235627710441,x1.0
1450,assay:API_rID32STR_GTA,0,1.006142849165131,1.006142849165131,x1.0
1451,assay:API_rID32STR_HIP,0,1.0039003733214464,1.0039003733214464,x1.0
1452,assay:API_rID32STR_LAC,0,1.008071042667731,1.008071042667731,x1.0
1453,assay:API_rID32STR_LARA,0,1.0016678712403402,1.0016678712403402,x1.0
1454,assay:API_rID32STR_MAL,0,1.0112410773931013,1.0112410773931013,x1.0
1455,assay:API_rID32STR_MAN,0,1.0058619919606968,1.0058619919606968,x1.0
1456,assay:API_rID32STR_MEL,0,1.003117866488503,1.003117866488503,x1.0
1457,assay:API_rID32STR_MLZ,0,1.0020021133418608,1.0020021133418608,x1.0
1458,assay:API_rID32STR_Mbeta DG,0,1.0074931499189175,1.0074931499189175,x1.0
1459,assay:API_rID32STR_PAL,0,1.0031295179487716,1.0031295179487716,x1.0
1460,assay:API_rID32STR_PUL,0,1.0036207664884136,1.0036207664884136,x1.0
1461,assay:API_rID32STR_PyrA,0,1.0042920847268673,1.0042920847268673,x1.0
1462,assay:API_rID32STR_RAF,0,1.0048522030117122,1.0048522030117122,x1.0
1463,assay:API_rID32STR_RIB,0,1.0061990394281248,1.0061990394281248,x1.0
1464,assay:API_rID32STR_SAC,0,1.0100347572597823,1.0100347572597823,x1.0
1465,assay:API_rID32STR_SOR,0,1.0027828797239384,1.0027828797239384,x1.0
1466,assay:API_rID32STR_TAG,0,1.0033971931387837,1.0033971931387837,x1.0
1467,assay:API_rID32STR_TRE,0,1.0103179498682218,1.0103179498682218,x1.0
1468,assay:API_rID32STR_URE,0,1.0011112963271656,1.0011112963271656,x1.0
1469,assay:API_rID32STR_VP,0,1.007944055944056,1.007944055944056,x1.0
1470,assay:API_rID32STR_alpha GAL,0,1.0058619919606968,1.0058619919606968,x1.0
1471,assay:API_rID32STR_beta GAL,0,1.0043043392011795,1.0043043392011795,x1.0
1472,assay:API_rID32STR_beta GAR,0,1.0050890833407573,1.0050890833407573,x1.0
1473,assay:API_rID32STR_beta GLU,0,1.0090730887706525,1.0090730887706525,x1.0
1474,assay:API_rID32STR_beta GUR,0,1.0024481166193737,1.0024481166193737,x1.0
1475,assay:API_rID32STR_beta MAN,0,1.0032295784843253,1.0032295784843253,x1.0
1476,assay:API_rID32STR_beta NAG,0,1.0032854438133423,1.0032854438133423,x1.0
1477,assay:API_zym_Acid phosphatase,0,1.04817904857071,1.04817904857071,x1.0
1478,assay:API_zym_Acid phosphatase,1,0.1695941112240672,0.1695941112240672,/5.9
1479,assay:API_zym_Alkaline phosphatase,0,1.0372118534138774,1.0372118534138774,x1.0
1480,assay:API_zym_Alkaline phosphatase,1,0.37471584258598245,0.37471584258598245,/2.7
1481,assay:API_zym_Control,0,1.0001110185956148,1.0001110185956148,x1.0
1482,assay:API_zym_Cystine arylamidase,0,1.0193117737146289,1.0193117737146289,x1.0
1483,assay:API_zym_Esterase,0,1.0289816395500901,1.0289816395500901,x1.0
1484,assay:API_zym_Esterase,1,0.33829089910832444,0.33829089910832444,/3.0
1485,assay:API_zym_Esterase Lipase,0,1.0361839694409485,1.0361839694409485,x1.0
1486,assay:API_zym_Esterase Lipase,1,0.306143009286894,0.306143009286894,/3.3
1487,assay:API_zym_Leucine arylamidase,0,1.0380372351398153,1.0380372351398153,x1.0
1488,assay:API_zym_Leucine arylamidase,1,0.39635477679332554,0.39635477679332554,/2.5
1489,assay:API_zym_Lipase,0,1.0134776020513905,1.0134776020513905,x1.0
1490,assay:API_zym_N-acetyl-beta- glucosaminidase,0,1.02524124717979,1.02524124717979,x1.0
1491,assay:API_zym_N-acetyl-beta- glucosaminidase,1,0.21890871094170372,0.21890871094170372,/4.6
1492,assay:API_zym_Naphthol-AS-BI-phosphohydrolase,0,1.0374564930974326,1.0374564930974326,x1.0
1493,assay:API_zym_Naphthol-AS-BI-phosphohydrolase,1,0.2397571596028184,0.2397571596028184,/4.2
1494,assay:API_zym_Trypsin,0,1.024610120036204,1.024610120036204,x1.0
1495,assay:API_zym_Valine arylamidase,0,1.0271244754623086,1.0271244754623086,x1.0
1496,assay:API_zym_Valine arylamidase,1,0.2071552231059075,0.2071552231059075,/4.8
1497,assay:API_zym_alpha- Chymotrypsin,0,1.0169499175076144,1.0169499175076144,x1.0
1498,assay:API_zym_alpha- Fucosidase,0,1.0055812915108557,1.0055812915108557,x1.0
1499,assay:API_zym_alpha- Galactosidase,0,1.0166633360584267,1.0166633360584267,x1.0
1500,assay:API_zym_alpha- Glucosidase,0,1.0341790113226461,1.0341790113226461,x1.0
1501,assay:API_zym_alpha- Glucosidase,1,0.23025832333293716,0.23025832333293716,/4.3
1502,assay:API_zym_alpha- Mannosidase,0,1.0148490196455062,1.0148490196455062,x1.0
1503,assay:API_zym_beta- Galactosidase,0,1.0282820055694384,1.0282820055694384,x1.0
1504,assay:API_zym_beta- Glucosidase,0,1.028668347955214,1.028668347955214,x1.0
1505,assay:API_zym_beta- Glucosidase,1,0.1749202072790379,0.1749202072790379,/5.7
1506,assay:API_zym_beta- Glucuronidase,0,1.0072816369961042,1.0072816369961042,x1.0
1507,cell_length:high,0,0.9747277929608522,0.9747277929608522,/1.0
1508,cell_length:high,1,1.8675304483026691,1.8675304483026691,x1.9
1509,cell_length:low,0,0.965279815385298,0.965279815385298,/1.0
1510,cell_length:low,1,1.9566483830605532,1.9566483830605532,x2.0
1511,cell_length:mid,0,0.9671361702858181,0.9671361702858181,/1.0
1512,cell_length:mid,1,2.1955752158468447,2.1955752158468447,x2.2
1513,cell_length:very_low,0,0.9881763779552263,0.9881763779552263,/1.0
1514,cell_length:very_low,1,1.3804898188036407,1.3804898188036407,x1.4
1515,cell_shape:bacillus,0,0.9230083598077109,0.9230083598077109,/1.1
1516,cell_shape:bacillus,1,1.4241493935304252,1.4241493935304252,x1.4
1517,cell_shape:coccobacillus,0,0.997592317069275,0.997592317069275,/1.0
1518,cell_shape:coccobacillus,1,1.2848719419889592,1.2848719419889592,x1.3
1519,cell_shape:coccus,0,1.0138622606909198,1.0138622606909198,x1.0
1520,cell_shape:coccus,1,0.7582262823200874,0.7582262823200874,/1.3
1521,cell_shape:curved,0,1.0003331297540392,1.0003331297540392,x1.0
1522,cell_shape:disc ,0,1.0004997778764995,1.0004997778764995,x1.0
1523,cell_shape:dumbbell,0,1.0001665371377817,1.0001665371377817,x1.0
1524,cell_shape:ellipsoidal,0,0.999676979361405,0.999676979361405,/1.0
1525,cell_shape:filament,0,1.0021919904463723,1.0021919904463723,x1.0
1526,cell_shape:filament,1,0.7932338323919332,0.7932338323919332,/1.3
1527,cell_shape:fusiform,0,1.0000555062166963,1.0000555062166963,x1.0
1528,cell_shape:helical,0,1.0005553395901594,1.0005553395901594,x1.0
1529,cell_shape:irregular,0,1.0001665371377817,1.0001665371377817,x1.0
1530,cell_shape:oval,0,1.000277592715967,1.000277592715967,x1.0
1531,cell_shape:ovoid,0,0.9937693797099372,0.9937693797099372,/1.0
1532,cell_shape:ovoid,1,1.352418216023232,1.352418216023232,x1.4
1533,cell_shape:pleomorphic,0,1.0009414976098097,1.0009414976098097,x1.0
1534,cell_shape:ring,0,0.9991874215850282,0.9991874215850282,/1.0
1535,cell_shape:rod,0,0.7943821344794135,0.7943821344794135,/1.3
1536,cell_shape:rod,1,1.488260591696946,1.488260591696946,x1.5
1537,cell_shape:sphere,0,0.9971648120176367,0.9971648120176367,/1.0
1538,cell_shape:sphere,1,1.1822430072286423,1.1822430072286423,x1.2
1539,cell_shape:spiral,0,1.001050310561892,1.001050310561892,x1.0
